name,type,rating,popularity,keywords,image
八大处公园,主题公园,4.8,6.1,公园|娱乐,/backend/gugong.jpg
富国海底世界,主题公园,4.0,6.0,娱乐|动植物,/backend/gugong.jpg
纪晓岚故居,历史名胜,4.4,6.0,历史|建筑,/backend/gugong.jpg
黄花城水长城,历史名胜,4.7,6.0,历史|地标|建筑,/backend/gugong.jpg
司马台长城,历史名胜,4.6,6.0,历史|建筑|地标,/backend/gugong.jpg
水立方嬉水乐园,主题公园,4.4,6.0,历史|建筑|地标,/backend/gugong.jpg
国子监,历史名胜,4.8,5.9,公园|娱乐,/backend/gugong.jpg
北京宋庆龄故居,历史名胜,4.3,5.9,历史|建筑,/backend/gugong.jpg
红螺寺,历史名胜,4.8,5.9,历史|建筑,/backend/gugong.jpg
德云社剧场,主题公园,4.3,5.9,娱乐,/backend/gugong.jpg
中华民族博物院,展馆展览,4.4,5.8,展览,/backend/gugong.jpg
北京乐高探索中心,展馆展览,4.4,5.8,科技|展览,/backend/gugong.jpg
龙庆峡,地标景观,4.5,5.8,自然景观,/backend/gugong.jpg
祈年殿,历史名胜,4.8,5.8,历史|建筑,/backend/gugong.jpg
陶然亭公园,主题公园,4.7,5.8,公园,/backend/gugong.jpg
teamLab无相艺术空间,展馆展览,4.7,5.7,展览,/backend/gugong.jpg
石景山游乐园,主题公园,4.1,5.7,公园|娱乐,/backend/gugong.jpg
定陵,历史名胜,4.5,5.7,历史|建筑,/backend/gugong.jpg
大熊猫馆,展馆展览,4.5,5.9,展览|动植物,/backend/gugong.jpg
首都博物馆,展馆展览,4.8,5.8,展览,/backend/gugong.jpg
中国美术馆,展馆展览,4.7,5.7,展览,/backend/gugong.jpg
人民英雄纪念碑,地标景观,4.4,5.6,地标|建筑,/backend/gugong.jpg
中山公园,主题公园,4.7,5.6,公园,/backend/gugong.jpg
未来水世界,主题公园,4.5,5.9,娱乐,/backend/gugong.jpg
中国工美馆 中国非遗馆,展馆展览,4.9,5.6,展览,/backend/gugong.jpg
北京古代建筑博物馆,展馆展览,4.7,5.6,展览|建筑,/backend/gugong.jpg
观复博物馆,展馆展览,4.8,5.5,展览,/backend/gugong.jpg
国家图书馆,地标景观,4.7,5.5,建筑|地标,/backend/gugong.jpg
世界花卉大观园,展馆展览,4.5,5.4,展览,/backend/gugong.jpg
